Nome_Original,Nome_Traduzido
StockItemID,ID_Produto
StockItemName,Nome_Produto
ColorName,Cor
Brand,Marca
Size,Tamanho
SupplierName,Fornecedor
CustomerID,ID_Cliente
CustomerName,Nome_Cliente
PhoneNumber,Numero_Telefone
PostalPostalCode,Codigo_Postal
CustomerCategoryName,Categoria
CreditLimit,Credito_Limite
PersonID,ID_Vendedor
FullName,Nome_Vendedor
EmailAddress,Email
StateProvinceID,ID_Geografica
StateProvinceName,Estado
CountryName,Pais
InvoiceLineID,ID_Fatura
Quantity,Quantidade
UnitPrice,Valor_Unitario
TaxAmount,Imposto_Pedido
LineProfit,Lucro
DeliveryMethodName,Metodo_Entrega
SalespersonPersonID,ID_Vendedor
InvoiceDate,ID_Data
StateProvinceID,ID_Geografica
RecommendedRetailPrice,Preco_Recomendado
